"submission #",keyphrase,confidence
22,"user trust",180
22,"rumor presentation",150
22,"user trusting belief",110
22,"health information",90
22,"information quality",90
22,"online information",90
22,"online health information",79
22,"verified user",60
22,"research design",50
22,"social medium",50
22,"important factor influencing",47
22,"medium effect size",47
22,"additional information",40
22,"american society",40
22,"real online health rumor",40
22,"significant impact",40
22,"sina weibo",40
23,"object aggregate",90
23,"water dropper",90
23,"independent continuant",80
23,"material entity",80
23,"social structure",80
23,"direct representation",50
23,"thick object",50
23,"basic formal ontology",47
23,"dependent continuant",40
23,"korean ceramic water dropper",40
23,"state change",40
24,"image collection",120
24,"image processing",80
24,"image annotation",70
24,"information science",70
24,"image classification",60
24,"image dataset",60
24,"image retrieval",60
24,"medical image",60
24,"visual image metric",47
24,"automatic image dataset construction",40
24,"image resource",40
24,"large scale image dataset",40
25,"entity relationship",250
25,"visualization scheme",210
25,"main entity",180
25,"entity relation diagram",174
25,"child entity",160
25,"visualization system",140
25,"chinese herbal medicine data",120
25,"similarity threshold",120
25,"entity set",113
25,"secondary entity",100
25,"force oriented layout",95
25,"main entity set",95
25,"multi dimensional information",95
25,"multi entity relationship",95
25,"visual query system",95
25,"data model",80
25,"visual graphic rendering module",80
25,"chinese herbal medicine",79
25,"computer science zhejiang",79
25,"entity relationship diagram",79
25,"entity relationship model",79
25,"multi view association",79
25,"texa usa figure",79
25,"traditional chinese medicine",79
25,"category axis",70
25,"chinese herbal",70
25,"entity relation",70
25,"entity relationship jcdl2018",63
25,"query sample diagram",63
25,"secondary entity set",63
26,"digital scholarship",310
26,"university library",220
26,"literature analysis",110
26,"digital humanity",90
26,"literature review",80
26,"formulating research idea",79
26,"academic library",70
26,"research process",70
26,"locating research partner",63
26,"proposal writing",60
26,"research library",60
26,"bibliometric service",50
26,"research finding",50
26,"supporting service",50
26,"digital scholarship centre",47
26,"digital scholarship service",47
26,"digital scholarship support profile",40
26,"embedded service",40
26,"national social science fund",40
26,"research lifecycle",40
27,"collection specific",817
27,"collection specific word",626
27,"topic model",550
27,"collection independent",425
27,"collection independent word",348
27,"word distribution",325
27,"cross collection",223
27,"cross collection topic",221
27,"entropy based model",221
27,"document classification accuracy",206
27,"collection specific word distribution",180
27,"topic coherence",175
27,"collection topic model",174
27,"topic modeling",165
27,"entropy based topic modeling",160
27,"multi word phrase",142
27,"independent word",135
27,"domain specific",134
27,"topic representation",130
27,"collection independent word distribution",120
27,"hapax legomena",120
27,"collection topic modeling",110
27,"entropy threshold",110
27,"document collection",100
27,"latent dirichlet allocation",95
27,"data mining",90
27,"traveler forum",90
27,"automatic domain term extraction",80
27,"frequency distribution",80
27,"entropy based topic",79
28,"ranked list",140
28,"ranking index",140
28,"citation network",130
28,"computational linguistic",130
28,"scientific paper",120
28,"citation sentence",110
28,"sentiment analysis",110
28,"cited paper",100
28,"citing paper",90
28,"directed edge",70
28,"research paper",70
28,"scientific literature",70
28,"sentiment score",70
28,"natural language processing",63
28,"overlap score",60
28,"sentiment word",60
28,"research area",50
28,"index r3 index",47
28,"kendall rank correlation",47
28,"rank correlation coefficient",47
28,"ranking scientific paper",47
28,"set based measure",47
28,"small world network",47
28,"awais athar",40
28,"citation sentiment",40
28,"information science",40
28,"link structure",40
28,"research question",40
28,"sentiment classifier",40
28,"sentiment detection",40
29,"full text",1246
29,"text classification",427
29,"neural network",342
29,"deep learning",320
29,"title based method",253
29,"label text classification",158
29,"training data",153
29,"training sample",130
29,"deep learning model",126
29,"full text method",126
29,"digital library",120
29,"multi label",120
29,"multi label text",110
29,"full text performance",95
29,"multi label classification",95
29,"recurrent neural network",95
29,"subject indexing",90
29,"many title",80
29,"title based subject indexing",80
29,"convolutional neural network",79
29,"deep learning method",79
29,"full text counterpart",79
29,"hidden layer",70
29,"non linear",70
29,"open access",70
29,"pubmed dataset",70
29,"sample size",70
29,"natural language processing",63
29,"neural network architecture",63
29,"luka galke",60
31,"neural network",274
31,"bounding box",273
31,"computer vision",140
31,"digital library",130
31,"scientific document",130
31,"induced label",110
31,"research paper",110
31,"supervised neural network",95
31,"scientific figure",80
31,"convolutional neural network",79
31,"high quality label",79
31,"caption text",70
31,"bounding box regression",63
31,"computer science paper",63
31,"deep neural network",63
31,"manually labeled dataset",63
31,"neural network architecture",63
31,"auxiliary data",60
31,"labeled data",60
31,"labeled dataset",60
31,"computer science",50
31,"cur dist",50
31,"latex source",50
31,"template matching",50
31,"fully connected layer",47
31,"large web collection",47
31,"spatial feature grid",47
31,"large scale academic search engine",46
31,"object detection",40
31,"pattern recognition",40
32,"formula citation graph",237
32,"learning to rank",142
32,"word embedding model",126
32,"formula ranking",110
32,"semantic relevance",90
32,"gamma function",80
32,"formula based feature",79
32,"article feature",70
32,"inner article feature",63
32,"inter article feature",63
32,"information retrieval",60
32,"inner article",50
32,"textual description",50
32,"euler reflection formula",47
32,"inner article based feature",40
32,"inter article",40
32,"rank model",40
32,"texa usa",40
33,"packet scheduler",270
33,"software defined network",126
33,"sdn controller communication",95
33,"response time",90
33,"software defined networking",63
33,"various sdn domain",63
33,"beacon controller",60
33,"controller communication",60
33,"heterogeneous traffic",60
33,"inter controller",60
33,"performance enhancement",60
33,"openflow controller",50
33,"scheduling algorithm",50
33,"bgp update message",47
33,"multiple sdn domain",47
33,"data plane",40
33,"openflow switch",40
33,"simulation based performance analysis",40
33,"target controller",40
34,"energy consumption",691
34,"era algorithm",170
34,"software defined network",95
34,"energy optimization",90
34,"link state",86
34,"energy efficiency",80
34,"sleep mode",80
34,"software defined networking",79
34,"network device",70
34,"routing algorithm",70
34,"energy consumption calculation",63
34,"network energy consumption",63
34,"active link energy consumption",60
34,"active mode",60
34,"beacon message",60
34,"efficient routing algorithm selection",60
34,"route selection",60
34,"routing protocol",60
34,"backbone network",50
34,"energy efficient",50
34,"energy saving",50
34,"neighbor node",50
34,"traffic management",50
34,"data center network",47
34,"energy consumption optimization",47
34,"energy consumption pc",47
34,"energy optimization model",47
34,"link state ls",47
34,"new energy optimization framework",40
34,"optimized energy consumption framework",40
35,"academic social networking site",160
35,"information science",140
35,"response time",100
35,"interaction process analysis",95
35,"online interaction",80
35,"academic social",75
35,"question asking",70
35,"academic social network",63
35,"bale interaction process",63
35,"socio emotional reaction",63
35,"interaction pattern",50
35,"opinion question",50
35,"research question",50
35,"significant difference",50
35,"online information review",47
36,"health information literacy",285
36,"information seeking",251
36,"biased information seeking process",180
36,"cognitive dissonance reduction",158
36,"information seeking behavior",142
36,"health information",135
36,"selective exposure",110
36,"cognitive dissonance",100
36,"information seeking task",95
36,"health information seeking",79
36,"information search",70
36,"significant difference",70
36,"biased information",65
36,"biased information search",63
36,"confirmation bias",60
36,"individual difference",50
36,"opposing information",50
36,"eye tracker machine",47
36,"conceptual framework",40
36,"controversial issue",40
36,"employ pattern",40
36,"online travel information search",40
36,"personality trait",40
37,"micro archives",390
37,"related resource",310
37,"micro archive",265
37,"web archives",240
37,"blog article",200
37,"research data",140
37,"web archive",140
37,"digital library",100
37,"rich digital object representation",100
37,"authority page",80
37,"included resource",70
37,"linked resource",70
37,"meta information",70
37,"search engine",70
37,"world wide web",63
37,"archived resource",60
37,"avishek anand",60
37,"crawl specification",60
37,"digital object",56
37,"archived snapshot",50
37,"archiving service",50
37,"persistence provider",50
37,"software website",50
37,"use case",50
37,"internet archives wayback",47
37,"micro archive specification",47
37,"scientific publication",40
37,"social medium",40
37,"wayback machine",40
37,"web content",40
38,"kendall tau",895
38,"tau top",600
38,"target graph",580
38,"ranking deviation",330
38,"hak measure",310
38,"block fraction",245
38,"real world graph",237
38,"ghost vertices",210
38,"web graph",200
38,"real world",146
38,"hak kendall tau",142
38,"high fidelity component selection",140
38,"synthetic graph",120
38,"social network",105
38,"crawling strategy",100
38,"random walk",100
38,"world wide web",95
38,"high fidelity",90
38,"rank correlation",90
38,"high fidelity component",79
38,"social network graph",79
38,"crawled vertices",70
38,"digital library",70
38,"incomplete graph",70
38,"rank deviation",70
38,"connected component",60
38,"pagerank computation",60
38,"pagerank value",60
38,"random graph",50
38,"relative ordering",50
39,"information science",165
39,"location based recommendation",142
39,"book stack",110
39,"long tail",100
39,"library book stack",95
39,"short head",90
39,"information system",80
39,"recommender system",75
39,"digital library",70
39,"iot technology",70
39,"mobile device",70
39,"texa usa",70
39,"iot powered recommender system jcdl18",69
39,"american society",60
39,"iot powered recommender system",60
39,"mobile app",60
39,"collaborative filtering",50
39,"english literature",50
39,"information search",50
39,"iot hardware",50
39,"library building",50
39,"library collection",50
39,"request recommendation",50
39,"subject distribution",50
39,"content based filtering",47
39,"information science field",47
39,"iot powered recommendation",47
39,"short head distribution",47
39,"short head preference",47
39,"information design",40
40,"performance quality",481
40,"mixed behavior user",174
40,"user performance quality",174
40,"knowledge seeker",160
40,"zhihu user",160
40,"assessment indicator system",142
40,"knowledge contributor",140
40,"performance quality score",126
40,"user comprehensive performance quality",120
40,"behavior user",95
40,"performance quality assessment",95
40,"comprehensive performance quality score",80
40,"user performance",80
40,"comprehensive performance quality",79
40,"quality assessment indicator",79
40,"behavior data",70
40,"user behavior",70
40,"hosted live count",63
40,"overall performance quality",63
40,"content contribution",60
40,"question count",60
40,"sqa platform",60
40,"answer count",50
40,"entropy method",50
40,"sqa user",50
40,"zhihu platform",50
40,"long tail distribution",47
40,"participated live count",47
40,"zhihu user performance",47
40,"comprehensive performance quality assessment",40
41,"digital information management tool",140
41,"personal digital information management",100
41,"management tool",85
41,"research consultation",80
41,"advancing student productivity",63
41,"digital information",55
41,"digital information management",47
41,"library user experience",47
42,"digital library",90
42,"deep learning",70
42,"image collection",50
42,"image retrieval",50
42,"printed material",50
42,"advanced image discovery development",40
42,"iconographic resource",40
42,"image database",40
42,"soldier class",40
42,"visual recognition",40
43,"linked data",410
43,"semantic web",140
43,"information professional",120
43,"lam domain",90
43,"cataloguing tool",80
43,"ld interlinking tool",79
43,"ld project experience",79
43,"controlled vocabulary",60
43,"experience working",60
43,"library domain",60
43,"library metadata",60
43,"authority control",50
43,"improved data",50
43,"noldexp group",50
43,"moderate usability issue",47
43,"publishing lam metadata",47
43,"resource description framework",47
43,"semi structured interview",47
43,"trinity college dublin",47
43,"benefit lam",40
43,"cataloguing workflow",40
43,"difficulty integrating and interlinking",40
43,"improved search engine optimisation",40
43,"lam publishing and consuming",40
43,"ldexp noldexp",40
43,"main barrier",40
43,"noldexp overall",40
43,"prior knowledge",40
43,"technical person",40
44,"data entry",230
44,"quill platform",140
44,"constitutional convention",130
44,"alfie abdul rahman",95
44,"negotiated text network",79
44,"texa usa",75
44,"diff match patch",63
44,"utah valley university",63
44,"formal negotiation",60
44,"Nichola cole",50
44,"parliamentary process",50
44,"plain text document",47
44,"presented last year",47
44,"quick jump code",47
44,"texa usa figure",47
44,"commentary collection",40
44,"decision making",40
44,"federal convention",40
44,"formal record",40
44,"third party",40
44,"various committee",40
45,"book recommendation",130
45,"authorship identification",110
45,"neural network",100
45,"literary book recommendation",95
45,"recommender system",80
45,"relevant book",80
45,"author identification model",79
45,"convolutional neural network",79
45,"subject heading",70
45,"target user",70
45,"writing style",70
45,"authid book representation",63
45,"author writing style",63
45,"author identification",60
45,"character bigram",60
45,"diana inkpen",60
45,"texa usa",60
45,"top k recommendation scenario",60
45,"unread book",60
45,"authorship attribution",50
45,"computational linguistic",50
45,"information retrieval",50
45,"stan szpakowicz",50
45,"book recommender system",47
45,"el evant book",47
45,"latent dirichlet allocation",47
45,"mare soledad pera",47
45,"paula cristina vaz",47
45,"yiu kai ng",47
45,"irrelevant book",40
46,"cs sub community",253
46,"computer science",220
46,"sub community",152
46,"acceptance rate",150
46,"sub field",150
46,"scientific event",140
46,"accepted paper",120
46,"research field",110
46,"field productivity",100
46,"scientific event characteristic",95
46,"christoph lange",90
46,"research community",90
46,"data analysis",80
46,"largest number",80
46,"said fathalla",80
46,"scholarly communication",80
46,"exploratory data analysis",79
46,"event series",70
46,"geographical distribution",70
46,"ice tam",70
46,"top event",70
46,"progress ratio",60
46,"time distribution",60
46,"eng event",50
46,"meta analysis",50
46,"prestigious event",50
46,"scientific community",50
46,"computer science community",47
46,"smart data analytic",47
46,"sub community popularity",47
47,"rejected paper",270
47,"accept ratio",220
47,"reviewer group",220
47,"peer review system",206
47,"peer review",193
47,"accepted paper",180
47,"multi refereed paper",158
47,"multiple referee",150
47,"multiple reviewer",140
47,"refereed paper",125
47,"genetic algorithm",120
47,"last assignment",120
47,"crossover rate",110
47,"mean citation",110
47,"cited paper",100
47,"long term citation",95
47,"fitness score",90
47,"jstat dataset",90
47,"jhep dataset",80
47,"average citation",70
47,"performing reviewer",70
47,"social network",70
47,"true positive",70
47,"high energy physic",63
47,"technology kharagpur kharagpur",63
47,"assigned reviewer",60
47,"reviewer history",50
47,"submitted paper",50
47,"Multi refereed paper",47
47,"generation level fitness",47
48,"named entity",460
48,"temporal expression",390
48,"time interval",290
48,"pseudo relevant document",237
48,"annotation type",210
48,"semantic annotation",210
48,"xfactor algorithm",190
48,"semantic aspect",180
48,"document collection",170
48,"jannik str otgen",126
48,"pseudo relevant set",126
48,"news archives",120
48,"uncertainty aware time model",120
48,"web archives",120
48,"pseudo relevant",115
48,"search result",115
48,"knowledge graph",110
48,"usain bolt",110
48,"geographic location",100
48,"michael phelp",100
48,"demetrio zeinalipour yazti",95
48,"search result diversification",95
48,"annotated archives",80
48,"structured representation",80
48,"york time",80
48,"aspect generation",70
48,"semantic model",70
48,"named entity recognition",63
48,"factor function",60
48,"ground truth",60
49,"digital library",190
49,"web archiving",160
49,"martin klein",60
49,"special issue",50
49,"computer science",40
49,"international internet preservation consortium",40
49,"technical committee",40
49,"virginia tech",40
52,"alexandru ioan cuza",79
52,"ioan cuza university",79
52,"huazhong agricultural university",47
52,"natural language processing",47
52,"universite paris saclay",47
52,"biomedical natural language processing",40
53,"saudi digital library",190
53,"digital library",123
53,"saudi university",50
53,"arabic e resource",47
53,"digital library questionnaire survey",40
53,"oxford digital library questionnaire",40
54,"link prediction",362
54,"co authorship network",301
54,"social network",190
54,"graph embedding",130
54,"link prediction problem",126
54,"data mining",120
54,"recommender system",110
54,"research interest",110
54,"machine learning",100
54,"network embedding",100
54,"knowledge discovery",90
54,"similarity score",90
54,"link prediction task",79
54,"national research university",79
54,"coauthorship network",70
54,"research paper",70
54,"scopus subject category",63
54,"feature engineering",60
54,"higher school",60
54,"network analysis",60
54,"subject category",60
54,"common neighbor",50
54,"digital library",50
54,"feature learning",50
54,"research community",50
54,"hse author",40
54,"hyper parameter",40
54,"neural information processing system",40
54,"preferential attachment",40
54,"topic modelling",40
56,"perceptual hashing",280
56,"plagiarism detection",195
56,"image based plagiarism detection",180
56,"sub image",160
56,"bar chart",150
56,"image similarity",145
56,"adaptive image based plagiarism",140
56,"ratio hashing",130
56,"position aware text matching",120
56,"academic plagiarism",110
56,"compound image",110
56,"feature point method",110
56,"reference database",110
56,"detection method",100
56,"real world",100
56,"disguised image",95
56,"image analysis",90
56,"image plagiarism",90
56,"text matching",85
56,"feature descriptor",80
56,"disguised image reuse",79
56,"image based pd",79
56,"k gram descriptor",79
56,"k gram matching",79
56,"adaptive image",70
56,"detection process",70
56,"disguised form",70
56,"outlier detection",70
56,"illustration illustration illustration",63
56,"optical character recognition",63
57,"topic model",680
57,"word embedding",637
57,"embedding space",410
57,"word embedding model",190
57,"topic distribution",175
57,"topic coherence",160
57,"word embedding space",142
57,"top word",120
57,"background topic",110
57,"embedded topic distribution",110
57,"corpus specific stop word",100
57,"gaussian distribution",100
57,"news corpus",100
57,"enhancing topic model",95
57,"learned probability distribution",95
57,"computational linguistic",90
57,"gaussian lda",90
57,"topic modeling",90
57,"gibbs sampling",80
57,"neural information processing system",80
57,"nip corpus",80
57,"latent dirichlet allocation",79
57,"mise fisher distribution",79
57,"p ear son",79
57,"von mise fisher",79
57,"embedding model",70
57,"topic word",70
57,"corpus specific embedding",63
57,"dedicated background topic",63
57,"topic coherence measure",63
58,"north miami",110
58,"digital collection center",95
58,"miami historical society",63
58,"historical society",40
58,"society collection",40
58,"team member",40
59,"query language",523
59,"information type",410
59,"conceptual history",400
59,"time series",380
59,"concept type",230
59,"time series value",190
59,"data characteristic",180
59,"null null",180
59,"target word",150
59,"context word",120
59,"usage frequency",120
59,"temporal text corpus",110
59,"parallel concept",100
59,"sentiment operator",100
59,"operator tree",90
59,"text corpus",85
59,"sentiment value",80
59,"time series based selection",80
59,"category operator",70
59,"conceptual design",70
59,"reinhart koselleck",70
59,"peace war po",63
59,"text search operator",63
59,"word usage frequency",63
59,"counter concept",60
59,"grammatical structure",60
59,"hypothesis testing",60
59,"relational algebra",60
59,"sumup operator",60
59,"surrounding word",60
60,"digital library",240
60,"search behavior",230
60,"metadata cluster",190
60,"clicked document",170
60,"interaction cluster",170
60,"search interface",130
60,"session graph",130
60,"average silhouette width",126
60,"digital library collection",126
60,"metadata feature",110
60,"facet search",100
60,"national library",100
60,"search interaction",100
60,"time facet",100
60,"clustering search log",95
60,"distribution zone click",95
60,"clustering technique",90
60,"feature set",90
60,"search log",90
60,"usage pattern",90
60,"distribution zone",80
60,"multiple facet",80
60,"recent national page click",80
60,"texa usa",80
60,"world wide web",79
60,"log analysis",70
60,"metadata record",70
60,"november cluster",70
60,"october cluster",70
60,"user behavior",70
62,"information theory",270
62,"shannon information theory",158
62,"tweet trail",130
62,"hashtag trail",110
62,"social entropy",90
62,"structural analysis",90
62,"flu trail",80
62,"social system",80
62,"social entropy theory",79
62,"entropic method",70
62,"entropic value",70
62,"non medical",70
62,"twitter data stream",63
62,"influenza trail",60
62,"profile analysis",60
62,"social medium",60
62,"real world",50
62,"scatter graph",50
62,"social interaction",50
62,"claude shannon information",47
62,"bell system",40
62,"blue color",40
62,"image component",40
62,"natural science",40
62,"radar graph",40
62,"retweet activity",40
62,"semantic meaning",40
62,"social science",40
62,"system technical",40
62,"twitter platform",40
63,"cryptocurrency market",80
63,"digital library",70
63,"sentiment analysis",70
63,"goel formula",50
63,"machine learning",50
63,"news title",50
63,"do medium sentiment",47
63,"stock market price",47
63,"data collection",40
63,"get value",40
63,"random forest",40
63,"stock market",40
64,"analytic hierarchy process",126
64,"institutional repository",120
64,"alternative decision",110
64,"digital library",80
64,"repository staff",70
64,"faculty participation",60
64,"ahp model",50
64,"sub criterion",50
64,"decision making process",47
64,"north texa denton",47
64,"open access repository",47
64,"repository management staff",47
64,"decision making",40
64,"item type",40
65,"ask metafilter",220
65,"power law distribution",158
65,"organization tag",150
65,"data set",110
65,"social tagging",110
65,"retroactive taggers",100
65,"organic ask metafilter",95
65,"retroactive ask metafilter",95
65,"controlled vocabulary",80
65,"professionally designed indexing language",80
65,"retroactive tagging",80
65,"identification tag",70
65,"indexing language",70
65,"retroactive folksonomy",70
65,"organic metafilter",60
65,"professional indexer",60
65,"retroactive tag",60
65,"metafilter tag",50
65,"narrow folksonomy",50
65,"organic tagging",50
65,"retroactive metafilter",50
65,"standard deviation",50
65,"tag distribution",50
65,"co occurring synonym",47
65,"collaborative tagging system",47
65,"organic tag",40
66,"device transition",396
66,"cross device",341
66,"cross device transition",332
66,"library opac",202
66,"next device",170
66,"feature group",80
66,"cross device search",79
66,"feature importance",70
66,"next activity",70
66,"pre transition",70
66,"library opac user",63
66,"user next activity",63
66,"user online activity",63
66,"prediction model",60
66,"first device",50
66,"post transition",50
66,"time interval",50
66,"cross device setting",47
66,"library opac system",47
66,"digital library",40
66,"general web",40
66,"mobile phone",40
66,"multiple device",40
66,"online activity",40
66,"opac user",40
66,"operation system",40
66,"personal account",40
66,"prediction performance",40
66,"search task",40
66,"user behavior",40
67,"pre existing highlight",126
67,"digital library",90
67,"reader text interaction",79
67,"reading comprehension",70
67,"term definition matching",63
67,"cognitive style",60
